Keys,Values
q1,"Sanjib Shyamal, Sumit Kumar Dutta, and Narayan Pradhan"
q2,Indian Association for the Cultivation of Science (IACS)
q3,'American Chemical Society'
q4,The Journal of Physical Chemistry Letters
q5,None
q6,'research'
q7,'2019'
q8,Yes
q9,CsPbBr3
q10,Yes
q11,"Excitation wavelength: 350 nm
Emission wavelength: Not provided in the context provided."
q12,"1. Impedance spectroscopy
2. Transmission electron microscopy (TEM)
3. Powder X-ray diffraction (XRD)
4. Energy dispersive spectra (EDS)
5. Absorption and photoluminescence (PL) spectra
6. Gas chromatography"
q13,None
q14,None
q15,CsPbBr3 and Fe(II)-doped CsPbBr3 nanocrystals
q16,'photocatalytic CO2 reduction'
q17,None
q18,'150 mW'
q19,None
q20,150 mW cm−2
