Keys,Values
q1,"Guanjun Xiao, Ye Cao, Guangyu Qi, Lingrui Wang, Chuang Liu, Zhiwei Ma, Xinyi Yang, Yongming Sui, Weitao Zheng, and Bo Zou"
q2,None
q3,'American Chemical Society'
q4,Journal of the American Chemical Society
q5,None
q6,'research'
q7,2017
q8,"Yes, the Supporting Information is available free of charge on the ACS Publications website at DOI: 10.1021/jacs.7b05260."
q9,Cesium lead bromide (CsPbBr3) perovskite.
q10,Yes
q11,None
q12,"1. Fourier transform infrared (FTIR) spectroscopy
2. Photoluminescence (PL) spectroscopy
3. High-pressure photoluminescence (PL) measurement
4. Time-resolved photoluminescence (TRPL) decay dynamics
5. Absorption spectroscopy
6. Angle-dispersive X-ray diffraction (ADXRD)"
q13,None
q14,None
q15,None
q16,"The major application of the material mentioned in this article, cesium lead bromide nanocrystals (CsPbBr3NCs), is in optoelectronic devices and solar cells. Photocatalysis is not mentioned."
q17,None
q18,None
q19,None
q20,None
