Keys,Values
q1,"Suman Bera, Sanjib Shyamal"
q2,"Suman Bera and Sanjib Shyamal are affiliated with the School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India."
q3,American Chemical Society
q4,Journal of the American Chemical Society
q5,None
q6,'Research article'
q7,'2021'
q8,"Yes, the Supporting Information is available free of charge at https://pubs.acs.org/doi/10.1021/jacs.1c07231."
q9,CsPbBr3
q10,None
q11,None
q12,"1. Transmission electron microscopy (TEM)
2. High-resolution transmission electron microscopy (HRTEM)
3. Selected area fast Fourier transform (FFT) pattern analysis
4. X-ray diffraction (XRD)
5. Absorption spectroscopy
6. Photoluminescence (PL) spectroscopy
7. Photoelectrochemical measurements
8. Electrochemical impedance spectroscopy (EIS)
9. Energy dispersive spectra
10. ^1H NMR spectroscopy"
q13,"Lead(II) oxide (PbO, 99.999%), cadmium oxide (CdO, 99.5%)"
q14,None
q15,CsPbBr3 perovskite nanorods
q16,'CO2 reduction in photocatalysis'
q17,'5 mg'
q18,'450 W'
q19,100 mW/cm2
q20,'100 mW/cm^2'
