Keys,Values
q1,None
q2,University of Notre Dame
q3,American Chemical Society
q4,Journal of the American Chemical Society
q5,None
q6,Journal of the American Chemical Society Article
q7,'2017'
q8,Yes
q9,'CsPbBr3'
q10,'Yes'
q11,"Excitation wavelengths: 460 nm, 350 nm
Emission wavelengths: Not explicitly provided in the provided context."
q12,"1. Absorption Spectroscopy
2. Photoluminescence (PL) and Photoluminescence Excitation Spectroscopy (PLE)
3. Photoluminescence Quantum Yield (PL QY) measurements
4. Time-Correlated Single Photon Counting Time-Resolved Emission Spectroscopy (TCSPC-TRES)
5. Solvatochromism Measurements
6. Excitation Intensity-Dependent Emission Measurements
7. Powder X-ray Diffraction (XRD) Measurements
8. Transmission Electron Microscopy (TEM)"
q13,"1. PbBr2: 0.18 mmol
2. Cs-oleate: 125 mM in ODE"
q14,The PL quantum yields (PLQYs) of the halide perovskite mentioned range from 30 to 60%.
q15,None
q16,None
q17,None
q18,None
q19,None
q20,None
