Keys,Values
q1,"1, Sanjib Shyamal, Sumit Kumar Dutta, Narayan Pradhan"
q2,"1, School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India"
q3,"1, American Chemical Society"
q4,"1, The Journal of Physical Chemistry Letters"
q5,"1, Doping Iron in CsPbBr3 Perovskite Nanocrystals for Efficient and Product Selective CO2 Reduction"
q6,"1,Research"
q7,"1,2019"
q8,"1,Yes"
q9,"1, CsPbBr3"
q10,"1,350 nm,None"
q11,"1, TEM, PL, XRD, EDS, PEC"
q12,"1,Fe(II) precursor 25% with respect to Pb"
q13,"1,Fe(II)-doped CsPbBr3 nanocrystals"
q14,"1, Photocatalytic reduction of CO2
2, Photocatalytic"
q15,"Keys,Values
1,None"
q16,"1,150
2,150
3,None"
q17,"Keys,Values
1,None"
q18,"1,3"
q19,"1, Ethyl acetate/water medium"
q20,"1,4.6"
q21,"1,6.1"
q22,"1,2"
q23,"1,12-15"
