Keys,Values
q1,"1, Michael C. Brennan, John E. Herr, Triet S. Nguyen-Beck, Jessica Zinna, Sergiu Draguta, Sergei Rouvimov, John Parkhill, Masaru Kuno"
q2,"1, Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556, United States; Notre Dame Integrated Imaging Facility, University of Notre Dame, Notre Dame, Indiana 46556, United States"
q3,"1, American Chemical Society (ACS)"
q4,"1, Journal of the American Chemical Society (JACS)"
q5,"1,Origin of the Size-Dependent Stokes Shift in CsPbBr3 Perovskite Nanocrystals"
q6,"1, Research Article"
q7,"1, 2017"
q8,"1,Yes"
q9,"1, CsPbBr3"
q10,"Keys,Values
1,350 nm, varies with size"
q11,"1, TEM, PXRD, PLE, PL, TCSPC-TRES, UV-Vis"
q12,"1, PbBr2 (0.18 mmol)
2, Cs-oleate (125 mM in ODE)"
q13,"1, CsPbBr3 nanocrystals"
q14,"Keys,Values
1.Photovoltaic and light-emitting applications
2.Photovoltaic"
q15,"Keys,Values
1.None"
q16,"1, None"
q17,"1,None"
q18,"Keys,Values
1,None"
q19,"Keys,Values
1.Toluene, hexane, chloroform"
q20,"1,None"
q21,"Keys,Values
1,None"
q22,"1, 1"
q23,"1,3.0 to 12.8"
