Keys,Values
q1,"1. Suman Bera, 2. Sanjib Shyamal, 3. Narayan Pradhan"
q2,"School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India"
q3,American Chemical Society
q4,Journal of the American Chemical Society (JACS)
q5,Chemically Spiraling CsPbBr3 Perovskite Nanorods
q6,Research Article
q7,2021
q8,Yes
q9,CsPbBr3
q10,"350 nm, 518 nm"
q11,"TEM, HRTEM, FFT, XRD, UV-Vis, PL, PLQY, TCSPC, EDS, 1H NMR, GC, PEC"
q12,"1. Lead(II) oxide (PbO) - 0.2 mmol, 2. Cadmium oxide (CdO) - 0.2 mmol, 3. Cesium carbonate (Cs2CO3) - 1.2 mmol"
q13,CsPbBr3 Nanorods
q14,"Major Application: Photocatalysis for CO2 reduction
Type of Reaction: Photocatalytic"
q15,15. 5 mg
q16,"450,150,None"
q17,None
q18,2
q19,Ethyl acetate and water mixture
q20,74.45
q21,None
q22,1
q23,220-250
