Keys,Values
q1,"Deben Li, Jiaxin Zhou, Zhijie Zhang, Ying Jiang, Zhongliang Dong, Jiayue Xu, Chunxia Yao"
q2,"1. School of Materials Science and Engineering at Shanghai Institute of Technology
2. Institute for Agro-food Standards and Testing Technology at Shanghai Academy of Agricultural Sciences"
q3,American Chemical Society (ACS)
q4,ACS Applied Energy Materials
q5,"""Enhanced Photocatalytic Activity for CO2 Reduction over a CsPbBr3/CoAl-LDH Composite: Insight into the S‑Scheme Charge Transfer Mechanism"""
q6,Research article
q7,2022
q8,Yes
q9,CsPbBr3
q10,"None, 520 nm"
q11,"XRD, TEM, HRTEM, EDX, UV-vis, XPS, FTIR, PL, ESR, M‑S"
q12,"1. Co(NO3)2·6H2O
2. Al(NO3)3·9H2O
Concentrations: Not specified"
q13,CsPbBr3/CoAl-LDH composite
q14,"Major application: Photocatalytic CO2 reduction
Type of reaction: Photocatalytic"
q15,15. 8 mg
q16,"300,None,None"
q17,41.2
q18,4
q19,Ethyl acetate (EA)
q20,51.9
q21,7.6
q22,1. Hot injection method
q23,None
