Keys,Values
q1,"Guanjun Xiao, Ye Cao, Guangyu Qi, Lingrui Wang, Chuang Liu, Zhiwei Ma, Xinyi Yang, Yongming Sui, Weitao Zheng, Bo Zou"
q2,"State Key Laboratory of Superhard Materials, College of Materials Science and Engineering, Jilin University, Changchun 130012, People’s Republic of China."
q3,American Chemical Society
q4,Journal of the American Chemical Society (JACS)
q5,"""Pressure Effects on Structure and Optical Properties in Cesium Lead Bromide Perovskite Nanocrystals"""
q6,Research
q7,2017
q8,Yes
q9,cesium lead bromide perovskite nanocrystals (CsPbBr3 NCs)
q10,"355 nm, 514 nm"
q11,"TEM, HAADF-STEM, ADXRD, Optical spectroscopy measurements"
q12,"Metal precursors: 1. cesium carbonate (Cs2CO3), 2. lead bromide (PbBr2)
Concentrations: None"
q13,None
q14,"1. Photovoltaic applications
2. Photovoltaic"
q15,None
q16,None
q17,None
q18,None
q19,None
q20,None
q21,None
q22,2
q23,23. 11.7
