Keys,Values
q1,"Sanjib Shyamal, Sumit Kumar Dutta, Narayan Pradhan"
q2,"School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India."
q3,American Chemical Society
q4,Journal of Physical Chemistry Letters
q5,"""Doping Iron in CsPbBr3 Perovskite Nanocrystals for Efficient and Product Selective CO2 Reduction."""
q6,Research article
q7,2019
q8,Yes
q9,CsPbBr3
q10,"350 nm, typical range for CsPbBr3 nanocrystals"
q11,"TEM, EDS, XRD, PEC"
q12,"1. Cesium iodide (CsI), 2. Lead bromide (PbBr2), 3. 25% concentration of Fe(II) with respect to Pb."
q13,Fe(II)-doped CsPbBr3 nanocrystals
q14,"Photocatalytic CO2 reduction, Photocatalytic"
q15,None
q16,"None,150,None"
q17,6.1
q18,3
q19,ethyl acetate/water medium
q20,4.6
q21,6.1
q22,4
q23,12-15
