Keys,Values
q1,"Michael C. Brennan, John E. Herr, Triet S. Nguyen-Beck, Jessica Zinna, Sergiu Draguta, Sergei Rouvimov, John Parkhill, Masaru Kuno."
q2,"Department of Chemistry and Biochemistry, University of Notre Dame; Notre Dame Integrated Imaging Facility, University of Notre Dame."
q3,American Chemical Society
q4,Journal of the American Chemical Society (JACS)
q5,"""Origin of the Size-Dependent Stokes Shift in CsPbBr3 Perovskite Nanocrystals."""
q6,Research article
q7,2017
q8,Yes
q9,CsPbBr3
q10,"350, 460-350"
q11,"TEM, PXRD, PL, PLE, TCSPC-TRES"
q12,"1. PbBr2, 2. 0.18 mmol, 3. Cs-oleate precursor solution, 4. 125 mM"
q13,None
q14,"Major application: 1. Photovoltaic devices, 2. Lighting/display technologies. 
Reaction type: None"
q15,None
q16,None
q17,None
q18,None
q19,"Toluene, hexane, and chloroform"
q20,None
q21,None
q22,1.
q23,2-13
