Keys,Values
q1,"Yang-Fan Xu, Mu-Zi Yang, Bai-Xue Chen, Xu-Dong Wang, Hong-Yan Chen, Dai-Bin Kuang, and Cheng-Yong Su"
q2,"MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou 510275, P. R. China"
q3,'American Chemical Society'
q4,Journal of the American Chemical Society
q5,"""A CsPbBr3 Perovskite Quantum Dot/Graphene Oxide Composite for Photocatalytic CO2 Reduction"""
q6,'research'
q7,The year of publication for this article is 2017.
q8,"Yes, the supporting information is available free of charge on the ACS Publications website at doi: 10.1021/jacs.7b00489."
q9,CsPbBr3
q10,'Yes'
q11,"'Excitation wavelength: 369.6 nm
Emission wavelength: Not explicitly provided in the context'"
q12,"1. Photoinduced luminescence
2. Powder X-ray diffraction (PXRD)
3. Transmission electron microscopy (TEM)
4. High-resolution transmission electron microscopy (HRTEM)
5. Energy-dispersive X-ray (EDX) mapping
6. X-ray photoelectron spectroscopy (XPS)
7. Thermogravimetric analysis (TGA)
8. Photoelectrochemical (PEC) measurements
9. Electrochemical impedance spectroscopy (EIS)
10. External quantum efficiency (EQE) tests
11. Photoluminescence (PL) measurements"
q13,None
q14,None
q15,'CsPbBr3 quantum dots (QDs) and a CsPbBr3QD/graphene oxide (CsPbBr3QD/GO) composite'
q16,'Photocatalytic CO2 reduction'
q17,None
q18,'100-W'
q19,AM 1.5G simulated illumination
q20,'150 mW cm−2'
