Keys,Values
q1,"Sanjib Shyamal, Sumit Kumar Dutta, and Narayan Pradhan"
q2,"School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India"
q3,'American Chemical Society'
q4,The Journal of Physical Chemistry Letters
q5,"""Doping Iron in CsPbBr3 Perovskite Nanocrystals for Efficient and Product Selective CO2 Reduction"""
q6,'research'
q7,'2019'
q8,Yes
q9,CsPbBr3
q10,"Yes, the halide perovskite nanocrystals mentioned in the article showed photoluminescence."
q11,"Excitation wavelength: 350 nm
Emission wavelength: Not explicitly mentioned in the provided context."
q12,"1. Absorption and photoluminescence (PL) spectra
2. Transmission electron microscopy (TEM)
3. Powder X-ray diffraction (XRD)
4. Energy dispersive spectra (EDS)
5. Photoelectrochemical (PEC) measurements
6. Nyquist plots (Electrochemical impedance spectroscopy)"
q13,"'Fe(II) precursor' 
'25% of the Fe(II) precursor (with respect to Pb)'"
q14,None
q15,'Fe(II)-doped CsPbBr3 nanocrystals'
q16,'photocatalytic reduction of CO2'
q17,None
q18,'150 mW'
q19,"The solar spectrum condition used in the photocatalysis mentioned is ""150 mW cm−2 solar light illumination."""
q20,150 mW cm−2
