Keys,Values
q1,"Guanjun Xiao, Ye Cao, Guangyu Qi, Lingrui Wang, Chuang Liu, Zhiwei Ma, Xinyi Yang, Yongming Sui, Weitao Zheng, and Bo Zou"
q2,Jilin University
q3,'American Chemical Society'
q4,Journal of the American Chemical Society
q5,None
q6,'Research Article'
q7,2017
q8,"Yes, the Supporting Information is available free of charge on the ACS Publications website at DOI: 10.1021/jacs.7b05260."
q9,'CsPbBr3'
q10,'Yes'
q11,None
q12,"1. Fourier transform infrared (FTIR) spectroscopy
2. Photoluminescence (PL) spectroscopy
3. Time-resolved PL decay dynamics
4. In situ high-pressure angle-dispersive X-ray diffraction (ADXRD)
5. Transmission electron microscopy (TEM) and high-resolution TEM (HRTEM)
6. High-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) and element mapping
7. In situ high-pressure absorption spectroscopy"
q13,None
q14,None
q15,None
q16,'photovoltaic applications'
q17,None
q18,None
q19,None
q20,None
