Keys,Values
q1,"Masaru Kuno, John Parkhill"
q2,University of Notre Dame
q3,'American Chemical Society'
q4,Journal of the American Chemical Society
q5,None
q6,Research Article
q7,2017
q8,"Yes, the supporting information is available free of charge on the ACS Publications website at DOI: 10.1021/jacs.7b05683."
q9,CsPbBr3
q10,'Yes'
q11,"Excitation wavelength (λ_exc): 460 nm
Emission wavelength (λ_exc): 350 nm"
q12,"1. Photoluminescence Quantum Yield (PL QY) measurements
2. Time-Correlated Single Photon Counting Time-Resolved Emission Spectroscopy (TCSPC-TRES)
3. Solvatochromism measurements
4. Excitation Intensity-Dependent Emission measurements
5. Powder X-ray Diffraction (XRD) measurements
6. Transmission Electron Microscopy (TEM)
7. Absorption Spectroscopy
8. Photoluminescence (PL) and Photoluminescence Excitation (PLE) Spectroscopy"
q13,"1. PbBr2: 0.18 mmol
2. Cs-oleate: 125 mM"
q14,The PL quantum yields (QY) of the halide perovskite mentioned range from 30 to 60%.
q15,None
q16,None
q17,None
q18,None
q19,None
q20,None
