Keys,Values
q1,"Guanjun Xiao, Ye Cao, Guangyu Qi, Lingrui Wang, Chuang Liu, Zhiwei Ma, Xinyi Yang, Yongming Sui, Weitao Zheng, Bo Zou"
q2,"State Key Laboratory of Superhard Materials, College of Materials Science and Engineering, Jilin University, Changchun 130012, People’s Republic of China."
q3,American Chemical Society
q4,Journal of the American Chemical Society (JACS)
q5,"""Pressure Effects on Structure and Optical Properties in Cesium Lead Bromide Perovskite Nanocrystals"""
q6,Research Article
q7,2017
q8,Yes
q9,Cesium lead bromide perovskite (CsPbBr3)
q10,Yes
q11,"Excitation wavelength: 355 nm, Emission wavelength: 514 nm."
q12,"1. Transmission electron microscopy (TEM), 
2. High-resolution TEM, 
3. High-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM), 
4. In situ time-resolved carrier dynamics, 
5. Angle dispersive synchrotron X-ray diffraction (ADXRD), 
6. Optical spectroscopy measurements."
q13,"1. Cesium carbonate (Cs2CO3), 2. Oleic acid (OA), 3. Octadecene (ODE), 4. Lead bromide (PbBr2), 5. Oleylamine (OLA)

Concentrations: 1. 0.407 g, 2. 1.2 mL, 3. 20 mL, 4. 0.069 g, 5. 0.5 mL"
q14,None
q15,None
q16,photovoltaic applications
q17,None
q18,None
q19,None
q20,None
