Keys,Values
q1,"Sanjib Shyamal, Sumit Kumar Dutta, Narayan Pradhan"
q2,"School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India."
q3,American Chemical Society
q4,Journal of Physical Chemistry Letters
q5,"""Doping Iron in CsPbBr3 Perovskite Nanocrystals for Efficient and Product Selective CO2 Reduction."""
q6,Research paper
q7,2019
q8,Yes
q9,CsPbBr3
q10,Yes
q11,"1. Excitation wavelength: 350 nm
2. Emission wavelengths: Not explicitly mentioned"
q12,"1. Absorption spectroscopy, 2. Photoluminescence spectroscopy, 3. Transmission electron microscopy (TEM), 4. Energy dispersive spectroscopy (EDS), 5. Powder X-ray diffraction (XRD), 6. Photoelectrochemical measurements"
q13,"Metal precursor: Fe(II) acetate
Concentration: 25% with respect to Pb"
q14,None
q15,Fe(II)-doped CsPbBr3 perovskite nanocrystals
q16,photocatalytic CO2 reduction
q17,None
q18,None
q19,None
q20,150 mW cm^-2
