Keys,Values
q1,"Michael C. Brennan, John E. Herr, Triet S. Nguyen-Beck, Jessica Zinna, Sergiu Draguta, Sergei Rouvimov, John Parkhill, Masaru Kuno"
q2,"Department of Chemistry and Biochemistry, University of Notre Dame; Notre Dame Integrated Imaging Facility, University of Notre Dame, Notre Dame, Indiana, United States."
q3,American Chemical Society
q4,Journal of the American Chemical Society (JACS)
q5,"""Origin of the Size-Dependent Stokes Shift in CsPbBr3 Perovskite Nanocrystals."""
q6,Research Article
q7,2017
q8,Yes
q9,CsPbBr3
q10,Yes
q11,"Excitation wavelength: 350 nm
Emission wavelengths: Variable (dependent on NC size)"
q12,"1. Transmission Electron Microscopy (TEM), 2. Powder X-ray Diffraction (PXRD), 3. Time-Correlated Single Photon Counting Time-Resolved Emission Spectroscopy (TCSPC-TRES), 4. Photoluminescence (PL) and Photoluminescence Excitation (PLE) Spectroscopy."
q13,"Lead bromide (PbBr2), 0.18 mmol"
q14,30 to 60%
q15,None
q16,Use in photovoltaic devices and lighting/display technologies. Photocatalysis not mentioned.
q17,None
q18,None
q19,None
q20,∼1.4μW/cm2
