Keys,Values
q1,"Yang-Fan Xu, Mu-Zi Yang, Bai-Xue Chen, Xu-Dong Wang, Hong-Yan Chen, Dai-Bin Kuang, Cheng-Yong Su"
q2,"Affiliation: MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou 510275, P. R. China."
q3,American Chemical Society
q4,Journal of the American Chemical Society (JACS)
q5,"""A CsPbBr3 Perovskite Quantum Dot/Graphene Oxide Composite for Photocatalytic CO2 Reduction."""
q6,Research article
q7,2017
q8,Yes
q9,CsPbBr3
q10,Yes
q11,"Excitation wavelength: 369.6 nm
Emission wavelengths: None"
q12,"1. Powder X-ray diffraction (PXRD), 2. Transmission electron microscopy (TEM), 3. Raman spectroscopy, 4. Energy-dispersive X-ray (EDX) mapping, 5. X-ray photoelectron spectroscopy (XPS), 6. Thermogravimetric analysis (TGA), 7. Photoluminescence (PL) spectroscopy, 8. Photoelectrochemical (PEC) measurements."
q13,None
q14,None
q15,CsPbBr3 quantum dots (QDs) and CsPbBr3 QD/graphene oxide (GO) composite
q16,Photocatalytic CO2 reduction to solar fuels.
q17,None
q18,100 W
q19,AM 1.5G simulated illumination
q20,None
