Keys,Values
q1,"Deben Li, Jiaxin Zhou, Zhijie Zhang, Ying Jiang, Zhongliang Dong, Jiayue Xu, Chunxia Yao"
q2,"1. School of Materials Science and Engineering at Shanghai Institute of Technology
2. Institute for Agro-food Standards and Testing Technology at Shanghai Academy of Agricultural Sciences"
q3,American Chemical Society (ACS)
q4,ACS Applied Energy Materials
q5,"""Enhanced Photocatalytic Activity for CO2 Reduction over a CsPbBr3/CoAl-LDH Composite: Insight into the S‑Scheme Charge Transfer Mechanism."""
q6,Research article
q7,2022
q8,Yes
q9,CsPbBr3
q10,Yes
q11,None
q12,"1. X-ray diffraction (XRD), 
2. transmission electron microscopy (TEM), 
3. energy-dispersive X-ray spectroscopy (EDX), 
4. UV-vis diffuse reflectance spectroscopy, 
5. X-ray photoelectron spectroscopy (XPS), 
6. Fourier-transform infrared (FTIR) spectroscopy, 
7. photoluminescence (PL) spectroscopy, 
8. electron spin resonance (ESR), 
9. photoelectrochemical measurements."
q13,"Metal precursors: 1. Co(NO3)2·6H2O, 2. Al(NO3)3·9H2O
Concentrations: None"
q14,None
q15,CsPbBr3/CoAl-LDH composite
q16,photocatalytic CO2 reduction under visible light
q17,17. 8 mg
q18,300 W
q19,None
q20,None
