Keys,Values
q1,"Yang-Fan Xu, Mu-Zi Yang, Bai-Xue Chen, Xu-Dong Wang, Hong-Yan Chen, Dai-Bin Kuang, Cheng-Yong Su"
q2,"'MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou 510275, P. R. China'"
q3,American Chemical Society
q4,Journal of the American Chemical Society
q5,"""A CsPbBr3 Perovskite Quantum Dot/Graphene Oxide Composite for Photocatalytic CO2 Reduction"""
q6,'Communication'
q7,'2017'
q8,Yes
q9,'CsPbBr3'
q10,Yes
q11,"Excitation wavelength: 369.6 nm
Emission wavelength: None"
q12,"1. X-ray photoelectron spectroscopy (XPS)
2. Electrochemical impedance spectroscopy (EIS)
3. Transmission electron microscopy (TEM)
4. Raman spectroscopy
5. Photoluminescence (PL) spectroscopy
6. Powder X-ray diffraction"
q13,None
q14,None
q15,CsPbBr3 QD/GO composite
q16,'photocatalytic CO2 reduction'
q17,None
q18,None
q19,'AM 1.5G simulated illumination'
q20,AM 1.5G simulated illumination
