Keys,Values
q1,"Sanjib Shyamal, Sumit Kumar Dutta, and Narayan Pradhan"
q2,None
q3,American Chemical Society
q4,The Journal of Physical Chemistry Letters
q5,"""Product Selective CO2 Reduction"""
q6,'None'
q7,'2019'
q8,Yes
q9,CsPbBr3
q10,Yes
q11,"'Excitation wavelength: 350 nm
Emission wavelength: None'"
q12,"1. EDS spectra
2. TEM images
3. Gas chromatography data
4. Chronoamperometry I−t plot"
q13,None
q14,None
q15,CsPbBr3 and Fe(II)-doped CsPbBr3 nanocrystals
q16,'photocatalytic CO2 reduction reaction'
q17,None
q18,'150 mW'
q19,None
q20,None
