Keys,Values
q1,"Guanjun Xiao, Ye Cao, Guangyu Qi, Lingrui Wang, Chuang Liu, Zhiwei Ma, Xinyi Yang, Yongming Sui, Weitao Zheng, and Bo Zou"
q2,None
q3,'American Chemical Society'
q4,Journal of the American Chemical Society
q5,None
q6,'Research Article'
q7,'2017'
q8,'Yes'
q9,CsPbBr3
q10,"Yes, ultrahigh photoluminescence."
q11,"Excitation wavelength: 355 nm
Emission wavelength: ∼514 nm"
q12,"1. Transmission electron microscopy (TEM)
2. High-resolution TEM (HRTEM)
3. High-angle annular dark-field scanning transmission
4. Angle dispersive synchrotron X-ray diffraction (ADXRD)
5. Optical spectroscopy
6. Photoluminescence (PL) measurements
7. In situ high-pressure absorption spectra
8. In situ high-pressure PL spectra"
q13,"1. Cesium carbonate (Cs2CO3) - 0.407 g
2. Oleic acid (OA) - 1.2 mL"
q14,ultrahighphotoluminescence
q15,'CsPbBr3NCs'
q16,'solar cells with high power conversion efficiency'
q17,None
q18,None
q19,None
q20,None
