Keys,Values
q1,"Suman Bera, Sanjib Shyamal, Narayan Pradhan"
q2,"1. Indian Association for the Cultivation of Science, Kolkata 700032, India"
q3,'American Chemical Society'
q4,Journal of the American Chemical Society
q5,None
q6,Research Article
q7,2021
q8,Yes
q9,'CsPbBr3'
q10,'Yes'
q11,"Excitation wavelength: 402 nm
Emission wavelength: 518 nm"
q12,"1. 1H NMR spectroscopy
2. Gas Chromatography (GC)
3. Electrochemical analysis (Nyquist plots)
4. Transmission Electron Microscopy (TEM)
5. X-ray Diffraction (XRD)
6. Photoelectrochemical measurements"
q13,"'1. Lead(II) oxide (PbO, 99.999%)
2. Cadmium oxide (CdO, 99.5%)'"
q14,"1. 30%
2. 46%
3. 51%
4. 62%"
q15,Lead halide perovskite nanocrystals
q16,Photocatalytic CO2 Reduction
q17,5 mg
q18,'450 W'
q19,None
q20,150 mW/cm^2
