Keys,Values
q1,"Deben Li, Jiaxin Zhou, Zhijie Zhang, Ying Jiang, Zhongliang Dong, Jiayue Xu, Chunxia Yao"
q2,"1. Shanghai Institute of Technology, Shanghai 201418, P. R. China
2. Institute for Agro-food Standards and Testing"
q3,'American Chemical Society'
q4,'ACS Applied Energy Materials'
q5,None
q6,'Research article'
q7,'2022'
q8,Yes
q9,CsPbBr3
q10,Yes
q11,"Excitation wavelength: None
Emission wavelength: 520 nm"
q12,"1. X-ray photoelectron spectra (XPS)
2. Mott−Schottky (M−S) plots
3. Electron spin resonance (ESR)
4. EDX microanalysis
5. XRD pattern
6. TEM image
7. FTIR spectra"
q13,"1. Co(NO3)2·6H2O (99%)
2. Al(NO3)3·9H2O (99.99%)
3. Cs2CO3 (99.9%)
4. PbBr2 (99%)"
q14,None
q15,'CsPbBr3/CoAl-LDH composite'
q16,'photocatalytic CO2 reduction'
q17,'8 mg'
q18,'300 W'
q19,Visible light (λ > 420 nm)
q20,'300 W Xe lamp'
