Keys,Values
q1,"your answer: Yang-Fan Xu, Mu-Zi Yang, Bai-Xue Chen, Xu-Dong Wang, Hong-Yan Chen, Dai-Bin Kuang, Cheng-Yong Su"
q2,"your answer: MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou 510275, P. R. China"
q3,your answer: American Chemical Society (ACS)
q4,your answer: Journal of the American Chemical Society (JACS)
q5,"your answer: ""A CsPbBr3 Perovskite Quantum Dot/Graphene Oxide Composite for Photocatalytic CO2 Reduction"""
q6,your answer: Research article
q7,your answer: 2017
q8,your answer: Yes
q9,your answer: CsPbBr3
q10,"your answer: 369.6, None"
q11,"your answer: PXRD, TEM, HRTEM, EDX, XPS, TGA, PL, PEC, EIS"
q12,your answer: None
q13,your answer: CsPbBr3 Quantum Dots (QDs) and CsPbBr3 QD/Graphene Oxide (GO) composite
q14,your answer: Photocatalytic
q15,your answer: None
q16,"your answer: 100, None, AM 1.5G"
q17,your answer: 29.8
q18,your answer: 12
q19,your answer: Ethyl acetate
q20,your answer: 58.7
q21,your answer: 29.6
q22,your answer: 3
q23,your answer: 6 ± 1
