Keys,Values
q1,"your answer: Guanjun Xiao, Ye Cao, Guangyu Qi, Lingrui Wang, Chuang Liu, Zhiwei Ma, Xinyi Yang, Yongming Sui, Weitao Zheng, Bo Zou"
q2,"your answer: State Key Laboratory of Superhard Materials, College of Materials Science and Engineering, Jilin University, Changchun 130012, People’s Republic of China."
q3,your answer: American Chemical Society (ACS)
q4,your answer: Journal of the American Chemical Society
q5,"your answer: ""Pressure Effects on Structure and Optical Properties in Cesium Lead Bromide Perovskite Nanocrystals"""
q6,your answer: Research article
q7,your answer: 2017
q8,your answer: Yes
q9,your answer: Cesium Lead Bromide
q10,"your answer: 355, 514"
q11,"your answer: TEM, HRTEM, HAADF-STEM, ADXRD, PL, FTIR, DFT"
q12,"your answer: 

1. Cesium carbonate, 0.407 g
2. Lead bromide, 0.069 g"
q13,your answer: CsPbBr3 nanocrystals
q14,your answer: Photovoltaic
q15,None
q16,your answer: None
q17,None
q18,None
q19,None
q20,None
q21,None
q22,your answer: 2
q23,your answer: 11.7
