Keys,Values
q1,"your answer: Michael C. Brennan, John E. Herr, Triet S. Nguyen-Beck, Jessica Zinna, Sergiu Draguta, Sergei Rouvimov, John Parkhill, Masaru Kuno"
q2,"your answer: Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556, United States; Notre Dame Integrated Imaging Facility, University of Notre Dame, Notre Dame, Indiana 46556, United States"
q3,your answer: American Chemical Society (ACS)
q4,your answer: Journal of the American Chemical Society (JACS)
q5,your answer: Origin of the Size-Dependent Stokes Shift in CsPbBr3 Perovskite Nanocrystals
q6,your answer: Research Article
q7,your answer: 2017
q8,your answer: Yes
q9,your answer: CsPbBr3
q10,"your answer: 350, varies with size"
q11,"your answer: TEM, PXRD, PL, PLE, TCSPC-TRES"
q12,"your answer: 

1. PbBr2, 0.18 mmol
2. Cs-oleate, 125 mM in ODE"
q13,your answer: CsPbBr3 NCs
q14,your answer: photovoltaic
q15,your answer: None
q16,None
q17,None
q18,None
q19,"your answer: Toluene, hexane, chloroform"
q20,None
q21,None
q22,your answer: 1
q23,your answer: 3.0 to 12.8
