Keys,Values
q1,"your answer: Suman Bera, Sanjib Shyamal, Narayan Pradhan"
q2,"your answer: School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India"
q3,your answer: American Chemical Society (ACS)
q4,your answer: Journal of the American Chemical Society (JACS)
q5,your answer: Chemically Spiraling CsPbBr3 Perovskite Nanorods
q6,your answer: Research Article
q7,your answer: 2021
q8,your answer: Yes
q9,your answer: CsPbBr3
q10,"your answer: 350, 518"
q11,"your answer: UV-vis, PL, PLQY, TCSPC, TEM, HRTEM, FFT, XRD, 1H NMR, GC, EIS"
q12,"your answer: 

1. Lead(II) oxide (PbO, 0.2 mmol)
2. Cadmium oxide (CdO, 0.2 mmol)
3. Cesium carbonate (Cs2CO3, 1.2 mmol)
4. Phenacyl bromide (0.6 mmol)"
q13,your answer: CsPbBr3 nanorods
q14,your answer: Photocatalytic
q15,your answer: 5 mg
q16,"your answer: 450, 150, Xe arc lamp"
q17,your answer: 115.26
q18,your answer: 2
q19,"your answer: Ethyl acetate and water mixture (300:1, v/v)"
q20,your answer: 40.81
q21,your answer: 74.45
q22,your answer: 1
q23,your answer: 220−250
